strategy_id,strategy,strategy_code,baseline_strategy_id,Description
1014,LNDU: Partial land use reallocation,LNDU:PLUR,0,Set land use reallocation factor to 0.5
1015,LNDU: Rehabilitate degraded land,LNDU:INC_LAND_REHABILITIATION,0,
1016,LSMM: Improve manure management for cattle and pigs,LSMM:INC_MANAGEMENT_CATTLE_PIGS,0," | 95% of manure from cattle (dairy and non-dairy) and pigs is treated. The manure treated is sent to the following pathways:
 |    37.5% to Anaerobic Digestion
 |    12.5% to Composting
 |    25.0% to Daily Spread
 |    12.5% to Deep Bedding
 |    12.5% to Solid Storage"
1017,LSMM: Improve manure management for other animals,LSMM:INC_MANAGEMENT_OTHER,0," | 95% of manure from all other animals is treated. The manure treated is sent to the following pathways:
 |    37.5.% to Composting
 |    12.5% to Dry Lot
 |    25.0% to Daily Spread
 |    25.0% to Solid Storage"
1018,LSMM: Improve manure management for poultry,LSMM:INC_MANAGEMENT_POULTRY,0," | 95% of manure from poultry (chickens) and pigs is treated. The manure treated is sent to the following pathways:
 |    100% to Poultry Management"
1019,LSMM: Increase biogas capture at anaerobic decomposition facilities,LSMM:INC_CAPTURE_BIOGAS,0,85% of Biogas captured at manure treated at Anaerobic Treatment facilities
1020,LSMM: Manure management bundle,LSMM:BUNDLE_INC_MANAGEMENT,0,All livestock manure management transformations in addition to increased biogas collection
1021,LVST: All transformations,LVST:ALL,0,
1022,LVST: All transformations with partial land use reallocation,LVST:ALL_PLUR,0,
1023,LVST: Decrease exports,LVST:DEC_EXPORTS,0,Decrease exports of livestock and livestock products by 50% (relative to final time period)
1024,LVST: Increase livestock productivity,LVST:INC_PRODUCTIVITY,0,Increase inferred livestock carrying capacity by 20%
1025,LVST: Increase livestock productivity with partial land use reallocation,LVST:INC_PRODUCTIVITY_PLUR,0,Increase inferred livestock carrying capacity by 20%
1026,LVST: Reduce enteric fermentation,LVST:DEC_ENTERIC_FERMENTATION,0,Reduce enteric fermentation (20% in buffalo and cattle and 28% in goats and sheep)
1027,SOIL: Improve fertilizer application,SOIL:DEC_N_APPLIED,0,Decrease total nitrogen applied to soils by 5% through more precise fertilizer use
1028,SOIL: Improve lime application,SOIL:DEC_LIME_APPLIED,0,Decrease lime applied to soils by 5%
1029,AF: All AFOLU transformations with partial land use reallocation and without stopping deforestation,AF:ALL_NO_STOPPING_DEFORESTATION_PLUR,0,
1030,AF: All AFOLU transformations,AF:ALL,0,
1031,AF: All AFOLU transformations with partial land use reallocation,AF:ALL_PLUR,0,
2001,TRWW: All wastewater treatment transformations,TRWW:ALL,0,
2002,TRWW: Increase biogas capture,TRWW:INC_CAPTURE_BIOGAS,0,
2003,TRWW: Increase septic compliance,TRWW:INC_COMPLIANCE_SEPTIC,0,
2004,WALI: All transformations,WALI:ALL,0,
2005,WALI: Improved industrial wastewater treatment,WALI:INC_TREATMENT_INDUSTRIAL,0,
2006,WALI: Improved rural wastewater treatment,WALI:INC_TREATMENT_RURAL,0,
2007,WALI: Improved urban wastewater treatment,WALI:INC_TREATMENT_URBAN,0,
2008,WASO: All solid waste,WASO:ALL,0,
2009,WASO: Biogas for energy production,WASO:INC_ENERGY_FROM_BIOGAS,0,
2010,WASO: Consumer food waste reduction,WASO:DEC_CONSUMER_FOOD_WASTE,0,
2011,WASO: Incineration for energy production,WASO:INC_ENERGY_FROM_INCINERATION,0,
2012,WASO: Increase biogas capture,WASO:INC_CAPTURE_BIOGAS,0,
2013,WASO: Increase composting and biogas,WASO:INC_ANAEROBIC_AND_COMPOST,0,
2014,WASO: Increase landfilling,WASO:INC_LANDFILLING,0,
2015,WASO: Increase recycling,WASO:INC_RECYCLING,0,
2016,CE: All Circular Economy transformations,CE:ALL,0,
3001,CCSQ: Increase direct air capture,CCSQ:INCREASE_CAPTURE,0,Increase Direct Air Capture deployment to 50 MT CO2e by 2050
3002,CCSQ: Increase direct air capture with renewable energy production,CCSQ:INCREASE_CAPTURE_REP,0,Increase Direct Air Capture deployment to 50 MT CO2e by 2050 + Renewable Energy Production
3003,ENTC: 95% of electricity is generated by renewables in 2050,ENTC:TARGET_RENEWABLE_ELEC,0,
3004,ENTC: Least cost solution,ENTC:LEAST_COST,0,
3005,ENTC: Reduce transmission losses,ENTC:DEC_LOSSES,0,
3006,ENTC: Reduce transmission losses with renewable energy production,ENTC:DEC_LOSSES_REP,0,
3007,FGTV: All Fugitive Emissions transformations,FGTV:ALL,0,
3008,FGTV: All Fugitive Emissions transformations with renewable energy production,FGTV:ALL_REP,0,
3009,FGTV: Maximize flaring,FGTV:INC_FLARE,0,
3010,FGTV: Maximize flaring with renewable energy production,FGTV:INC_FLARE_REP,0,
3011,FGTV: Minimize leaks,FGTV:DEC_LEAKS,0,
3012,FGTV: Minimize leaks with renewable energy production,FGTV:DEC_LEAKS_REP,0,
3013,INEN: All Industrial Energy transformations,INEN:ALL,0,
3014,INEN: All Industrial Energy transformations with renewable energy production,INEN:ALL_REP,0,
3015,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,INEN:FUEL_SWITCH_LO_HEAT,0,
3016,INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production,INEN:FUEL_SWITCH_LO_HEAT_REP,0,
3017,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,INEN:FUEL_SWITCH_HI_HEAT,0,
3018,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production,INEN:FUEL_SWITCH_HI_HEAT_REP,0,
3019,INEN: Maximize industrial energy efficiency,INEN:INC_EFFICIENCY_ENERGY,0,
3020,INEN: Maximize industrial energy efficiency with renewable energy production,INEN:INC_EFFICIENCY_ENERGY_REP,0,
3021,INEN: Maximize industrial production efficiency,INEN:INC_EFFICIENCY_PRODUCTION,0,
3022,INEN: Maximize industrial production efficiency with renewable energy production,INEN:INC_EFFICIENCY_PRODUCTION_REP,0,
3023,SCOE: All Stationary Combustion and Other Energy transformations,SCOE:ALL,0,
3024,SCOE: All Stationary Combustion and Other Energy transformations with renewable energy production,SCOE:ALL_REP,0,
3025,SCOE: Increase appliance efficiency,SCOE:INC_EFFICIENCY_APPLIANCE,0,
3026,SCOE: Increase appliance efficiency with renewable energy production,SCOE:INC_EFFICIENCY_APPLIANCE_REP,0,
3027,SCOE: Reduce end-use demand for heat energy by improving building shell,SCOE:DEC_DEMAND_HEAT,0,
3028,SCOE: Reduce end-use demand for heat energy by improving building shell with renewable energy production,SCOE:DEC_DEMAND_HEAT_REP,0,
3029,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",SCOE:FUEL_SWITCH_HEAT,0,
3030,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc. with renewable energy production",SCOE:FUEL_SWITCH_HEAT_REP,0,
3031,TRNS: All Transportation transformations,TRNS:ALL,0,
3032,TRNS: All Transportation transformations with renewable energy production,TRNS:ALL_REP,0,
3033,TRNS: Demand management bundle,TRNS:BUNDLE_DEMAND_MANAGEMENT,0,
3034,TRNS: Demand management bundle with renewable energy production,TRNS:BUNDLE_DEMAND_MANAGEMENT_REP,0,
3035,TRNS: Electrify light duty road transport,TRNS:FUEL_SWITCH_LIGHT_DUTY,0,
3036,TRNS: Electrify light duty road transport with renewable energy production,TRNS:FUEL_SWITCH_LIGHT_DUTY_REP,0,
3037,TRNS: Electrify rail,TRNS:FUEL_SWITCH_RAIL,0,
3038,TRNS: Electrify rail with renewable energy production,TRNS:FUEL_SWITCH_RAIL_REP,0,
3039,TRNS: Fuel switch bundle,TRNS:BUNDLE_FUEL_SWITCH,0,
3040,TRNS: Fuel switch bundle with renewable energy production,TRNS:BUNDLE_FUEL_SWITCH_REP,0,
3041,TRNS: Fuel switch maritime,TRNS:FUEL_SWITCH_MARITIME,0,
3042,TRNS: Fuel switch maritime with renewable energy production,TRNS:FUEL_SWITCH_MARITIME_REP,0,
3043,TRNS: Fuel switch medium duty road transport,TRNS:FUEL_SWITCH_MEDIUM_DUTY,0,
3044,TRNS: Fuel switch medium duty road transport with renewable energy production,TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP,0,
3045,TRNS: Increase occupancy for private vehicles,TRNS:INC_OCCUPANCY,0,
3046,TRNS: Increase occupancy for private vehicles with renewable energy production,TRNS:INC_OCCUPANCY_REP,0,
3047,TRNS: Increase transportation energy efficiency,TRNS:INC_EFFICIENCY,0,
3048,TRNS: Increase transportation energy efficiency with renewable energy production,TRNS:INC_EFFICIENCY_REP,0,
3049,TRNS: Mode shift bundle,TRNS:BUNDLE_MODE_SHIFT,0,
3050,TRNS: Mode shift bundle with renewable energy production,TRNS:BUNDLE_MODE_SHIFT_REP,0,
3051,TRNS: Mode shift freight,TRNS:MODE_SHIFT_FREIGHT,0,
3052,TRNS: Mode shift freight with renewable energy production,TRNS:MODE_SHIFT_FREIGHT_REP,0,
3053,TRNS: Mode shift passenger vehicles to others,TRNS:MODE_SHIFT_PASSENGER,0,
3054,TRNS: Mode shift passenger vehicles to others with renewable energy production,TRNS:MODE_SHIFT_PASSENGER_REP,0,
3055,TRNS: Mode shift regional passenger travel,TRNS:MODE_SHIFT_REGIONAL,0,
3056,TRNS: Mode shift regional passenger travel with renewable energy production,TRNS:MODE_SHIFT_REGIONAL_REP,0,
3057,TRDE: Reduce demand for transport,TRDE:DEC_DEMAND,0,
3058,TRDE: Reduce demand for transport with renewable energy production,TRDE:DEC_DEMAND_REP,0,
3059,EN: Efficiency bundle,EN:BUNDLE_EFFICIENCY,0,
3060,EN: Efficiency bundle with renewable energy production,EN:BUNDLE_EFFICIENCY_REP,0,
3061,EN: Fuel switch bundle,EN:BUNDLE_FUEL_SWITCH,0,
3062,EN: Fuel switch bundle with renewable energy production,EN:BUNDLE_FUEL_SWITCH_REP,0,
3063,EN: All Energy transformations,EN:ALL,0,
4001,IPPU: Demand management,IPPU:DEC_DEMAND,0,
4002,IPPU: Reduce cement clinker,IPPU:DEC_CLINKER,0,Reduces use of clinker in cement production
4003,IPPU: Reduce fluorinated gasses bundle,IPPU:BUNDLE_DEC_FGAS,0,
4004,IPPU: Reduce Nitrous Oxide emissions,IPPU:DEC_N2O,0,
4005,IPPU: Reduce other fluorinated compounds,IPPU:DEC_OTHER_FCS,0,"Includes SF6, NF3, HCFCs, and others"
4006,IPPU: Reduce use of HFCs,IPPU:DEC_HFCS,0,
4007,IPPU: Reduce use of PFCs,IPPU:DEC_PFCS,0,
4008,IP: All IP transformations,IP:ALL,0,
5001,PFLO: Better baseline,PFLO:BETTER_BASE,0,"Business as usual, but done better. Does not include any paradigm shifts or major scioeconomic transformations."
5002,PFLO: Healthier diets,PFLO:BETTER_DIETS,0,Reduce the fraction of the population eating red meat by 30% (equivalent to reducing total consumption by 30%) and reduce demand for sugar.
5003,PFLO: Healthier diets with partial land use reallocation,PFLO:BETTER_DIETS_PLUR,0,Reduce the fraction of the population eating red meat by 30% (equivalent to reducing total consumption by 30%) and reduce demand for sugar.
5004,PFLO: Change consumer behavior,PFLO:CHANGE_CONSUMPTION,0,Sweeping changes to consumer behavrior and social norms
5005,PFLO: Industrial point of capture CCSQ,PFLO:IND_INC_CCS,0,Specifies point-of-capture carbon capture and sequestration in IPPU and INEN
5006,PFLO: Supply side technologies and transformations,PFLO:SUPPLY_SIDE_TECH,0,Macro-scale transformations without consumer behavioral shifts
5007,PFLO: All transformations without stopping deforestation and partial land use reallocation,PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR,0,All transformations and partial land use reallocation *except* for stopping deforestation.
5008,PFLO: All transformations,PFLO:ALL,0,All transformations
5009,PFLO: All transformations with partial land use reallocation,PFLO:ALL_PLUR,0,All transformations
5010,"PFLO: All transformations with partial land use reallocation, no silvopasture",PFLO:ALL_PLUR_NO_SILVOPASTURE,0,All transformations except for silvopasture
5011,PFLO: Acceptable net zero acheivement from lever uncertainty exploration 1,PFLO:NET_ZERO_FROM_LE_EXPLORATION_1,0,Strategy 5011 is converted from ID sisepuede_run_2023-10-06T20:10:09.932282 primary_id = 514914 (design_id: 3;  strategy_id: 5009;  future_id: 400;)
5012,PFLO: Acceptable net zero acheivement from lever uncertainty exploration 2,PFLO:NET_ZERO_FROM_LE_EXPLORATION_2,0,Strategy 5012 is converted from ID sisepuede_run_2023-10-06T20:10:09.932282 primary_id = 514926 (design_id: 3;  strategy_id: 5009;  future_id: 412;)
5013,PFLO: Acceptable net zero acheivement from lever uncertainty exploration 3,PFLO:NET_ZERO_FROM_LE_EXPLORATION_3,0,Strategy 5013 is converted from ID sisepuede_run_2023-10-06T20:10:09.932282 primary_id = 514978 (design_id: 3;  strategy_id: 5009;  future_id: 464;)
5014,PFLO: Acceptable net zero acheivement from lever uncertainty exploration 4,PFLO:NET_ZERO_FROM_LE_EXPLORATION_4,0,Strategy 5014 is converted from ID sisepuede_run_2023-10-06T20:10:09.932282 primary_id = 515112 (design_id: 3;  strategy_id: 5009;  future_id: 598;)
5015,PFLO: Acceptable net zero acheivement from lever uncertainty exploration 5,PFLO:NET_ZERO_FROM_LE_EXPLORATION_5,0,Strategy 5015 is converted from ID sisepuede_run_2023-10-06T20:10:09.932282 primary_id = 515483 (design_id: 3;  strategy_id: 5009;  future_id: 969;)
5016,PFLO:Placeholder 1,PFLO:PLACEHOLDER_1,0,placeholder
5017,PFLO:Placeholder 2,PFLO:PLACEHOLDER_2,0,placeholder
5018,PFLO:Placeholder 3,PFLO:PLACEHOLDER_3,0,placeholder
5019,PFLO:Placeholder 4,PFLO:PLACEHOLDER_4,0,placeholder
5020,PFLO:Placeholder 5,PFLO:PLACEHOLDER_5,0,placeholder
5021,PFLO:Placeholder 6,PFLO:PLACEHOLDER_6,0,placeholder
5022,PFLO:Placeholder 7,PFLO:PLACEHOLDER_7,0,placeholder
5023,PFLO:Placeholder 8,PFLO:PLACEHOLDER_8,0,placeholder
5024,PFLO:Placeholder 9,PFLO:PLACEHOLDER_9,0,placeholder
5025,PFLO:Placeholder 10,PFLO:PLACEHOLDER_10,0,placeholder
6001,LNDU: Partial land use reallocation with India Climate Change,LNDU:PLUR_INDIA_CC,0,Set land use reallocation factor to 0.5 + India's expected climate change impacts on yields
6002,LNDU: India CCDR,PFLO:INDIA_CCDR_PLUR,0,India CCDR with partial land use reallocation
6003,PFLO: India CCDR and India Climate Change Impacts,PFLO:INDIA_CCDR_PLUR_INDIA_CC,0,India CCDR with partial land use reallocation + India's expected climate change impacts on yields
6004,PFLO: All transformations with partial land use reallocation and India Climate Change Impacts,PFLO:ALL_PLUR_INDIA_CC,0,All transformations with partial land use reallocation + India's expected climate change impacts on yields
