transformer_id,transformer,sector,transformer_code,description,variables_affected
35,CCSQ: Increase direct air capture,EN,TX:CCSQ:INC_CAPTURE,Increase Direct Air Capture deployment to 50 MT CO2e by 2050,
36,ENTC: Reduce transmission losses,EN,TX:ENTC:DEC_LOSSES,Decrease transmission losses by upgrading electrical transmission infrastructure.,
37,ENTC: Least cost solution,EN,TX:ENTC:LEAST_COST_SOLUTION,,
38,ENTC: 95% of electricity is generated by renewables in 2050,EN,TX:ENTC:TARGET_RENEWABLE_ELEC,Set a target for renewable electricity. Includes minimum targets for specific renewable energy technologies. ,
39,FGTV: Minimize leaks,EN,TX:FGTV:DEC_LEAKS,,
40,FGTV: Maximize flaring,EN,TX:FGTV:INC_FLARE,,
41,INEN: Maximize industrial energy efficiency,EN,TX:INEN:INC_EFFICIENCY_ENERGY,,
42,INEN: Maximize industrial production efficiency,EN,TX:INEN:INC_EFFICIENCY_PRODUCTION,,
43,INEN: Fuel switch high- and low-temp thermal processes. ,EN,TX:INEN:SHIFT_FUEL_HI_AND_LO_HEAT,"If combining fuel switching in high and low heat in industrial proccessus, use this transformation to avoid mathematical errors.",
44,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,EN,TX:INEN:SHIFT_FUEL_HI_HEAT,,
45,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,EN,TX:INEN:SHIFT_FUEL_LO_HEAT,,
46,SCOE: Reduce end-use demand for heat energy by improving building shell,EN,TX:SCOE:DEC_DEMAND_HEAT,,
47,SCOE: Increase appliance efficiency,EN,TX:SCOE:INC_EFFICIENCY_APPLIANCE,,
48,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",EN,TX:SCOE:SHIFT_FUEL_HEAT,,
49,TRDE: Reduce demand for transport,EN,TX:TRDE:DEC_DEMAND,,
50,TRNS: Increase transportation energy efficiency,EN,TX:TRNS:INC_EFFICIENCY,,
51,TRNS: Increase occupancy for private vehicles,EN,TX:TRNS:INC_OCCUPANCY,,
52,TRNS: Electrify light duty road transport,EN,TX:TRNS:SHIFT_FUEL_LIGHT_DUTY,,
53,TRNS: Fuel switch maritime,EN,TX:TRNS:SHIFT_FUEL_MARITIME,,
54,TRNS: Fuel switch medium duty road transport,EN,TX:TRNS:SHIFT_FUEL_MEDIUM_DUTY,,
55,TRNS: Electrify rail,EN,TX:TRNS:SHIFT_FUEL_RAIL,,
56,TRNS: Mode shift freight,EN,TX:TRNS:SHIFT_MODE_FREIGHT,,
57,TRNS: Mode shift passenger vehicles to others,EN,TX:TRNS:SHIFT_MODE_PASSENGER,,
58,TRNS: Mode shift regional passenger travel,EN,TX:TRNS:SHIFT_MODE_REGIONAL,,
59,GNRL: Reduce per capita red meat consumption,IP,TX:GNRL:DEC_RED_MEAT_CONSUMPTION,,
60,IPPU: Reduce cement clinker,IP,TX:IPPU:DEC_CLINKER,Reduces use of clinker in cement production,
61,IPPU: Demand management,IP,TX:IPPU:DEC_DEMAND,,
62,IPPU: Reduce use of HFCs,IP,TX:IPPU:DEC_HFCS,,
63,IPPU: Reduce Nitrous Oxide emissions,IP,TX:IPPU:DEC_N2O,,
64,IPPU: Reduce other fluorinated compounds,IP,TX:IPPU:DEC_OTHER_FCS,"Includes SF6, NF3, HCFCs, and others",
65,IPPU: Reduce use of PFCs,IP,TX:IPPU:DEC_PFCS,,
66,PFLO: Industrial carbon capture and sequestration,CROSS,TX:PFLO:IND_INC_CCS,Affects both INEN and IPPU.,
