transformer_kernel_id,transformer_kernel,sector,transformer_kernel_code,description,description_long,units_description,citations,variables_affected,requires_fp_model_for_full_effect,requires_fp_model_for_primary_effect,description_of_fp_model_interaction
13,LNDU: Expand sustainable grazing practices,AF,TFR:LNDU:DEC_SOC_LOSS_PASTURES," | Decrease soil organic carbon loss in grasslands through sustainable grazing practices
 | 
 | **Grasslands**: Increase :math:`F_{MG}` for ``grasslands`` to 1.157 (see V4, Chapter 6, Table 6.2 [2019R] for grasslands management factors :math:`F_{MG}` under different management regimes--mean of *Improved Grassland*)",,Fractions of pastures use sustainable grazing,,,1,0,"Depending on carrying capacities of pastures, changing grazing practices could require additional land use or affect the prouction of livestock. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
14,LNDU: Rehabilitate degraded land,AF,TFR:LNDU:INC_LAND_REHABILITIATION,Increase land use management factors to reduce loss of soil carbon.,Increase land use management factors to reduce loss of soil carbon.,"Fraction of specified land use classes (e.g., grasslands) with rehabilitiation, minimizing SOC loss",,,0,0,
15,LNDU: Increase Pasture Productivity,AF,TFR:LNDU:INC_PRODUCTIVITY_PASTURES,"Increases average dry matter yield in pastures. Bounded from above by maximum feasible pasture yield (specified in Maximum Pasture Dry Matter Yield Factor), usually determined by a combination of irrigation level and climate.",,Traget fractional increase in average dry matter yield. ,,,1,0,"Increasing pasture productivity can affect livestock production and land use transitions, which can effect poth energy demands for agricultural production and fuelwood supply in and from forests. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
16,LNDU: Increase Reforestation,AF,TFR:LNDU:INC_REFORESTATION,"Increases probability of input land use classes being converted to secondary forests. This transformation can be defined for specific land use classes--e.g., converting only shrublands and croplands to ",,Target fractional increase in forest area,,,1,0,"Changing forest crop and livestock production and forest conversion, which can affect energy demands and fuelwood supplies. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
17,LNDU: Expand silvopasture,AF,TFR:LNDU:INC_SILVOPASTURE,"Increase the use of silvopasture by increaasing the average sequestration factor associated with pastures. This transformer models silvopasture as a fraction of pastures with planted forests. Since the magnitude is a fraction of area, the average sequestration factor is estimated as m*f, where m is the magnitude (prevalence) and f is the secondary forest sequestration factor.",,Fraction of pasture under silvopasture. Applies secondary forest carbon sequestration factors to silvopasture area.,,,0,0,
18,LNDU: Partial land use reallocation,AF,TFR:LNDU:PLUR,Set land use reallocation factor to 0.5,,"Reallocation factor, which ranges from 0 to 1, represents the responsiveness of land use to external agriculture demands (crops and livestock). A value of 1 is completely responsive (total market power) which a value of 0 is completely unresponsive (e.g., centrally planned land use).",,,1,0,"Changing land use responses to demands can affect energy demands and fuelwood supplies in forests. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
19,LSMM: Increase biogas capture at anaerobic decomposition facilities,AF,TFR:LSMM:INC_CAPTURE_BIOGAS,Increase the fraction of biogas that is captured at manure treated at anaerobic livestock manure treatment facilities,,Target minimum fraction of biogas that is captured from manure management facilities with anaerobic decomposition (including lagoons),,,1,0,"Increasing biogas capture not only reduces methane emissions but allows for energy production from captured biogas. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
20,LSMM: Improve manure management for cattle and pigs,AF,TFR:LSMM:INC_MANAGEMENT_CATTLE_PIGS," | 95% of manure from cattle (dairy and non-dairy) and pigs is treated. Under default conditions, the manure treated is sent to the following pathways:
 |    37.5% to Anaerobic Digestion
 |    12.5% to Composting
 |    25.0% to Daily Spread
 |    12.5% to Deep Bedding
 |    12.5% to Solid Storage",,Fractions of cattle and pig manure managed by each LSMM management pathway. Can specify any target pathway.  ,,,1,0,"Changing livestock manure management pathways can change management in anerobic management approaches, which, if combined with biogas capture, can affect both methane emissions and energy production from captured biogas. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
21,LSMM: Improve manure management for other animals,AF,TFR:LSMM:INC_MANAGEMENT_OTHER," | 95% of manure from all other animals is treated. The manure treated is sent to the following pathways:
 |    37.5.% to Composting
 |    12.5% to Dry Lot
 |    25.0% to Daily Spread
 |    25.0% to Solid Storage",,"Fractions of non cattle, pig, or poultry manure managed by each LSMM management pathway. Can specify any target pathway.  ",,,1,0,"Changing livestock manure management pathways can change management in anerobic management approaches, which, if combined with biogas capture, can affect both methane emissions and energy production from captured biogas. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
22,LSMM: Improve manure management for poultry,AF,TFR:LSMM:INC_MANAGEMENT_POULTRY," | 95% of manure from poultry (chickens) and pigs is treated. The manure treated is sent to the following pathways:
 |    100% to Poultry Management",,Fractions of poultry manure managed by each LSMM management pathway. Can specify any target pathway.  ,,,1,0,"Changing livestock manure management pathways can change management in anerobic management approaches, which, if combined with biogas capture, can affect both methane emissions and energy production from captured biogas. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
23,LVST: Reduce enteric fermentation,AF,TFR:LVST:DEC_ENTERIC_FERMENTATION,"Reduce enteric fermentation through feed additives, methanogenic vaccines, and other technological processes and adaptations. 

**NOTE** this *does not* include feed swtching, which is dealt with in the feed switching transformation. ",,Fractional reduction in enteric fermentation across all classes,,,0,0,
24,LVST: Decrease exports,AF,TFR:LVST:DEC_EXPORTS,Decrease exports of livestock and livestock products by 50% (relative to final time period),,Fractional reduction in livestock exports,,,1,0,"Changing livestock exports will shift production, which affects energy demands. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
25,LVST: Increase livestock productivity,AF,TFR:LVST:INC_PRODUCTIVITY,Increase inferred livestock carrying capacity by 20%,,Fractional increase in livestock productivity,,,1,0,"Changing livestock productivity can affect total production, which affects energy demands. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
26,LVST: Shift Livestock Diets,AF,TFR:LVST:SHIFT_DIETARY_BOUNDS,"Shift livestock dietary bounds to reflect desired minimum and maximum levels. Four dietary options are available: crops--cereals, crops--non-cereals, crop residues, and pastures. The mix of crops available for feed is defined by the fraction of each crop made available as feed. Dietary shifts affect land use demands, enteric fermentation, and N production in manure.",,"For each defined livestock type, maximum and/or minimum fractions from each feed type can be specifed. Note that, for a given livestock class, minimum fractions by type cannot sum to greater than 1, while maximum fractions by type cannot sum to less than 1. Dietary fractions are solved for using the livestock dietary estimator (LDE).",,,1,0,"Changing livestock diets can affect land use, crop, and crop residue demands and production, all of which may affect energy systems. While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
27,SOIL: Improve lime application,AF,TFR:SOIL:DEC_LIME_APPLIED,Decrease lime applied to soils (default 5%),,Fractional decrease in lime applied to soils,,,0,0,
28,SOIL: Improve fertilizer application,AF,TFR:SOIL:DEC_N_APPLIED,Decrease total nitrogen applied  through more precise fertilizer use (default 5%),,Fractional decrease in fertilizer N applied to soils,,,1,0,"Depending on characteristics of ammonia and fertilizer production and trade, changing use of fertilizer can affect ammonia production.  While this is not the primary affect of the transformation, quantifying the full effect requires running the fuel production model. "
29,TRWW: Increase biogas capture,CE,TFR:TRWW:INC_CAPTURE_BIOGAS,Capture biogas at wastewater treatment facilities. Default capture level is 85%.,Capture biogas at wastewater treatment facilities. Default capture level is 85%.,Minimum target fraction of anaerobic wastewater treatment facilties with biogas capture.,,,1,0,"Increasing biogas capture not only reduces methane emissions but allows for energy production from captured biogas. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
30,TRWW: Increase septic compliance,CE,TFR:TRWW:INC_COMPLIANCE_SEPTIC,"Increase compliance of septic tanks when in use; compliance reduces emissions from leaking, overflows, and static wastewater.","Increase compliance of septic tanks when in use; compliance reduces emissions from leaking, overflows, and static wastewater.",Minimum target fraction of septic tanks under full compliance.,,,0,0,
31,WALI: Improved industrial wastewater treatment,CE,TFR:WALI:INC_TREATMENT_INDUSTRIAL,Increase the treatment of industrial wastewater. The default pathway will send 80% of industrial wastewater to anaerobic tertiary treatment; 10% to secondary aerobic; and 10% to secondary anaerobic. ,Increase the treatment of industrial wastewater. The default pathway will send 80% of industrial wastewater to anaerobic tertiary treatment; 10% to secondary aerobic; and 10% to secondary anaerobic. ,Target minimal fractional mix of wastewater treatment pathways at industrial facilities. Can specify any target pathway.,,,1,0,"Changing wastewater treatment pathways can change management in anerobic management approaches, which, if combined with biogas capture, can affect both methane emissions and energy production from captured biogas. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
32,WALI: Improved rural wastewater treatment,CE,TFR:WALI:INC_TREATMENT_RURAL,Increase the treatment of rural wastewater. The default pathway will send 100% of rural wastewater to septic tanks.,Increase the treatment of rural wastewater. The default pathway will send 100% of rural wastewater to septic tanks.,Target minimal fractional mix of wastewater treatment pathways in rural areas. Can specify any target pathway.,,,1,0,"Changing wastewater treatment pathways can change management in anerobic management approaches, which, if combined with biogas capture, can affect both methane emissions and energy production from captured biogas. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
33,WALI: Improved urban wastewater treatment,CE,TFR:WALI:INC_TREATMENT_URBAN,Increase the treatment of urban wastewater. The default pathway will send 30% of industrial wastewater to anaerobic tertiary treatment; 30% to aerobic tertiary treatment; 20% to secondary aerobic; and 20% to secondary anaerobic. ,Increase the treatment of urban wastewater. The default pathway will send 30% of industrial wastewater to anaerobic tertiary treatment; 30% to aerobic tertiary treatment; 20% to secondary aerobic; and 20% to secondary anaerobic. ,Target minimal fractional mix of wastewater treatment pathways in urban areas. Can specify any target pathway.,,,1,0,"Changing wastewater treatment pathways can change management in anerobic management approaches, which, if combined with biogas capture, can affect both methane emissions and energy production from captured biogas. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
34,WASO: Consumer food waste reduction,CE,TFR:WASO:DEC_CONSUMER_FOOD_WASTE,Reduce the amount of food waste generated per capita,,Fractional reduction in per capita food waste generated relative to final time period,,,0,0,
35,WASO: Decrease average landfill methane correction factor,CE,TFR:WASO:DEC_MCF_LANDFILLS,"Specify a fractional reduction in the average methane correction factor at landfills. Can be used to represent shifts to semi-aerobic landfills. Negative values will _increase_ the MCF, representing a shift to anaerobic landfills.",,"Specify a fractional reduction in the average methane correction factor at landfills. Can be used to represent shifts to semi-aerobic landfills. Negative values will _increase_ the MCF, representing a shift to anaerobic landfills.",,,0,0,
36,WASO: Increase composting and biogas,CE,TFR:WASO:INC_ANAEROBIC_AND_COMPOST,"Increase the fraction of yard, food, and sludge waste that is treated by anaerobic digesters or compost",,Fractional targets of organic waste treated via composting and anaerobic digesters. Can specify different fractions.,,,1,0,"Increasing biogas capture at landfills not only reduces methane emissions but allows for its use in energy production from captured biogas (if combined with increase biogas for energy production). While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
37,WASO: Increase biogas capture,CE,TFR:WASO:INC_CAPTURE_BIOGAS,Increase fraction of biogas captured from landfills and anaerobic digesters,,Minimum target fraction of anaerobic solid waste disposal facilties (landfills and digesters) with biogas capture.,,,1,0,"Increasing biogas capture at composting and anerobic digesters not only reduces methane emissions but allows for its use in energy production from captured biogas (if combined with increase biogas for energy production). While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
38,WASO: Biogas for energy production,CE,TFR:WASO:INC_ENERGY_FROM_BIOGAS,Increase the fraction of biogas that is collected that is used for energy,,Target minmum fraction of captured biogas that is used for energy production.,,,1,1,"Increasing biogas to energy production, when captured in an increase the biogas capture rate, will likely lead to a change in emissions in energy. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
39,WASO: Incineration for energy production,CE,TFR:WASO:INC_ENERGY_FROM_INCINERATION,Increases the fraction of waste incinerated that is used for energy. Default fraction is 85%.,Increases the fraction of waste incinerated that is used for energy. Default fraction is 85%.,Target minmum fraction of waste that is incinerated for energy.,,,1,1,Incineration of waste for energy will change total emissions in energy as well as emissions from solid waste management.
40,WASO: Increase landfilling,CE,TFR:WASO:INC_LANDFILLING,"Increase fraction of waste that is otherwise untreated (i.e., post recycling, composting, etc.) that is sent to landfills",,Target fraction of waste **that is not otherwise recycled (including composting for organics)** that is sent to landfills.,,,1,0,"If combined with biogas collection and use in energy, increasing landfilling can affect emissions in energy. While the effect is likely small on emissions from energy production, the full effect requires running the fuel production model."
41,WASO: Increase recycling,CE,TFR:WASO:INC_RECYCLING,Increases the magnitude of recyclable waste that is recycled--food and yard waste are included in this transformation and sent to composting. The default is 95%.,Increases the magnitude of recyclable waste that is recycled--food and yard waste are included in this transformation and sent to composting. The default is 95%.,Target fraction of waste that is recycled (organic and yard waste are composted).,,,1,1,"Increasing recycling pulls waste streams out of other management pathways and into a circular economy, which can affect energy demands. The magnitude of the effect in energy could be more significant than the effect on emissions in the waste sector, especially for non-organic materials--e.g., metals, glass, plastics--since those materials do not have large waste emissions profiles."
42,CCSQ: Increase direct air capture,EN,TFR:CCSQ:INC_CAPTURE,Increase Direct Air Capture deployment to 50 MT CO2e by final time period.,,Exogenous specification of installed capacity of direct air capture facilities in variable units.,,,1,0,"Increasing direct air capture has the primary effect of capturing carbon, but it does increase emissions from increased energy demands. While the aggregate effect is on emissions from energy production is smaller than the amount of atmospheric carbon removed, the full effect requires running the fuel production model."
43,ENFU: Adjust Exports,EN,TFR:ENFU:ADJ_EXPORTS,Increase OR Decrease exports of fuels,,Fractional increase (+) or decrease (-) in exports relative to final time period. ,,,1,1,"Changing fuel exports changes fuel production, which is primarily evaluated in the fuel production model."
44,ENFU: Adjust Prices,EN,TFR:ENFU:ADJ_PRICES,Increase OR Decrease fuel prices,,Fractional increase (+) or decrease (-) in prices relative to final time period. ,,,1,1,"Changing fuel prices can change optimal technology pathways for electricity production, which will affect the emissions profile. The emissions effect is primarily evaluated in the fuel production model."
45,ENTC: Reduce transmission losses,EN,TFR:ENTC:DEC_LOSSES,Decrease transmission losses by upgrading electrical transmission infrastructure.,,Target maximum fraction of electricity transmitted that is lost through inefficient or insufficient electricity infrastructure.,,,1,1,Reducing transmission losses affects demands for electricity by reducing production requirements. The emissions effect is primarily evaluated in the fuel production model.
46,ENTC: Increase efficiency of fuel production,EN,TFR:ENTC:INCREASE_EFFICIENCY_FUEL_PROD,"Decrease input activity ratio for production of fuels. Only applied to technologies that produce one fuel. For Petroleum Refinement, see XXXX. ",,"Specify a target efficiency level. For example, in charcoal production, the default value is 10%, representing an input activity ratio of 10 (10:1)--meaning 90% of input biomass is lost. A target of 40% would indicate an input activity ratio of 2.5:1, meaning that 60% of biomass is lost, but 4x less biomass is needed to produce the same amount of charcoal. This transformation can be used to represent improvements in charcoal kilns, natural gas production, hydrogen production, ammonia production, etc. ",,,1,1,"Changing the efficiency of fuel production affects input requirements for fuels. The emissions effect may be primarily evaluated in the fuel production model for some fuels, while for fuels like charcoal (driven by input fuelwood), the effect is primarily on forestland remaining forestland (AFOLU)."
47,ENTC: Least cost solution,EN,TFR:ENTC:LEAST_COST_SOLUTION,Solve only for the least cost solution for electricity and fuel production; eliminates any restrictions on expected shares of production.,Solve only for the least cost solution for electricity and fuel production; eliminates any restrictions on expected shares of production.,Implement the least cost NEMO solution without renewable targets.,,,1,1,"The least cost energy solution can change optimal technology pathways for electricity production, which will affect the emissions profile. The emissions effect is primarily evaluated in the fuel production model."
48,ENTC: Clean hydrogen,EN,TFR:ENTC:TARGET_CLEAN_HYDROGEN,Set a target for clean hydrogen production. ,,Fraction of hydrogen coming from electrolysis.,,,1,1,"Changing hydrogen production will change input fuels (e.g., SMR to electrolysis would shift natural gas as feedstock to electricity), which has cascading effects in the fuel production system. The emissions effect is primarily evaluated in the fuel production model."
49,ENTC: 95% of electricity is generated by renewables in final time period,EN,TFR:ENTC:TARGET_RENEWABLE_ELEC,Set a target for renewable electricity. Includes minimum targets for specific renewable energy technologies. ,,"Implement a target production share from renewables (renewable technologies are specified in input file). Additinoally, can implement minimum shares from specific technology.",,,1,1,"A 95% target for renewable energy production--which can include the specification of minimum production shares--will affect optimal technology pathways for electricity production, which will affect the emissions profile. The emissions effect is primarily evaluated in the fuel production model."
50,FGTV: Minimize leaks,EN,TFR:FGTV:DEC_LEAKS,"Decrease leaks in fugitive emissions from the distribution, transmission, and transportation of fuels. Default reduction is 80%.","Decrease leaks in fugitive emissions from the distribution, transmission, and transportation of fuels. Default reduction is 80%.","Fractional reduction in CO2, CH4, and N2O leaks from fugitive emissions.",,,1,1,Fugitive emissions depend extensively on energy consumption and production and cannot be evaluated with running the fuel production model.
51,FGTV: Maximize flaring,EN,TFR:FGTV:INC_FLARE,Shift from venting to flaring to shift methane emissions to CO2; default magnitude is 80%. ,Shift from venting to flaring to shift methane emissions to CO2; default magnitude is 80%. ,Fraction of otherwise vented gas that is flared instead.,,,1,1,Fugitive emissions depend extensively on energy consumption and production and cannot be evaluated with running the fuel production model.
52,INEN: Maximize industrial energy efficiency,EN,TFR:INEN:INC_EFFICIENCY_ENERGY,Increase the energy efficiency of industrial production processes. Default value is 30%. ,Increase the energy efficiency of industrial production processes. Default value is 30%. ,Fractional improvement in average industrial technology efficiency.,,,1,1,"Improvements to energy efficiency reduce demands for on-site combustion of fuels. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
53,INEN: Maximize industrial production efficiency,EN,TFR:INEN:INC_EFFICIENCY_PRODUCTION,Increase the production efficiency of industrial production processes (increases production per unit of demand). Default value is 40%. ,Increase the production efficiency of industrial production processes (increases production per unit of demand). Default value is 40%. ,"Fractional improvement in production (e.g., kj/tonne) efficiency. ",,,1,1,"Improvements to production efficiency reduce demands for on-site combustion of fuels. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
54,INEN: Fuel switch high- and low-temp thermal processes,EN,TFR:INEN:SHIFT_FUEL_HEAT,Transformations for both (and/or) low and high-heat should be implemented using this transformer. ,,This transformation can be specified to shift 90% of both low (to electricity) and high (depending on industry) heat (to electricity and hydrogen).,,,1,1,"Fuel shifting can have a significant effect on in-sector (on-site combustion) emissions. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
55,SCOE: Reduce end-use demand for heat energy by improving building shell,EN,TFR:SCOE:DEC_DEMAND_HEAT,Reduce the demand for heat energy (cooking and heating) in residential and commercial buildings through insulation and building improvements. Default value is 50%.,Reduce the demand for heat energy (cooking and heating) in residential and commercial buildings through insulation and building improvements. Default value is 50%.,Fractional change in heat demand in buildings.,,,1,1,"Reduction to energy energy demands (e.g., from building shell improvements) reduce demands for on-site combustion of fuels and consumption of secondary fuels like electricity. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
56,SCOE: Increase appliance efficiency,EN,TFR:SCOE:INC_EFFICIENCY_APPLIANCE,"Increase the efficiency of electrical appliances in residential and commercial buildings through technological advances (e.g., efficiency programs and regulations). Default is 50%.","Increase the efficiency of electrical appliances in residential and commercial buildings through technological advances (e.g., efficiency programs and regulations). Default is 50%.",Fractional increase in the efficiency of electrical appliances in buildings (residential and commercial/municipal).,,,1,1,Increasing applicance efficiency primarily affects demands for electricity and subsequent production. Emissions from the production of fuels (including electricity) are assessed in the fuel production model. 
57,SCOE: Increase heat efficiency,EN,TFR:SCOE:INC_EFFICIENCY_HEAT,"Increase the efficiency of heat technologies in residential and commercial buildings through technological advances (e.g., efficiency programs and regulations). Default is 20%.","Increase the efficiency of heat technologies in residential and commercial buildings through technological advances (e.g., efficiency programs and regulations). Default is 20%.",Fractional increase in the efficiency of heat delivery technologies in buildings (residential and commercial/municipal). Non-electric efficiencies are capped at 1.,,,1,1,"Improvements to energy efficiency reduce demands for on-site combustion of fuels. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
58,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",EN,TFR:SCOE:SHIFT_FUEL_HEAT,Shift heating and cooking energy to other fuels through technology switching. Default is to shift 95% to electricity.,Shift heating and cooking energy to other fuels through technology switching. Default is to shift 95% to electricity.,Fraction of heat energy switched to electricity.,,,1,1,"Fuel shifting can have a significant effect on in-sector (on-site combustion) emissions. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
59,TRDE: Reduce demand for transport,EN,TFR:TRDE:DEC_DEMAND,Reduce demand for transportation through better planning and infrastructure. Default is 25%.,Reduce demand for transportation through better planning and infrastructure. Default is 25%.,"Fractional reduction in aggregate transportation demand by TRDE demand type (e.g., public_private, regional, or freight)",,,1,1,"Reducing demands for transportation--e.g., through densification--can reduce demands for on-site combustion of fuels. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
60,TRNS: Increase electric transportation energy efficiency,EN,TFR:TRNS:INC_EFFICIENCY_ELECTRIC,"Increase the efficiency of electricity vehicles (e.g., reduce KWh/km). Default is 25%.","Increase the efficiency of electricity vehicles (e.g., reduce KWh/km). Default is 25%.",Fractional increase in electric vehicle efficiency against the final time period.,,,1,1,"Improvements to energy efficiency reduce demands for combustion of fuels in transportation modes. However, this transformation focuses on electric vehicles, and thus emissions effects will be realized only in the fuel production (ENTC) model."
61,TRNS: Increase non-electric transportation energy efficiency,EN,TFR:TRNS:INC_EFFICIENCY_NON_ELECTRIC,"Increase the efficiency of non-electric vehicles (e.g., increase km/l). Default is 25%.","Increase the efficiency of non-electric vehicles (e.g., increase km/l). Default is 25%.",Fractional increase in non-electric vehicle efficiency against the final time period,,,1,1,"Improvements to energy efficiency reduce demands for combustion of fuels in transportation modes. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
62,TRNS: Increase occupancy for private vehicles,EN,TFR:TRNS:INC_OCCUPANCY_LIGHT_DUTY,"Increase the occupancy of light duty vehicles; e.g., through carpooling . Default value is 25%.","Increase the occupancy of light duty vehicles; e.g., through carpooling . Default value is 25%.",Fractional increase in the average occupancy rate of private vehicles.,,,1,1,"Improvements to energy efficiency--such as decreasing VKMT for the same PKMT-- reduce demands for combustion of fuels in cars. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
63,TRNS: Electrify light duty road transport,EN,TFR:TRNS:SHIFT_FUEL_LIGHT_DUTY,Shift light-duty fuels to less carbon-intensive sources. Default is to shift 70% to electricity.,Shift light-duty fuels to less carbon-intensive sources. Default is to shift 70% to electricity.,Minimum target fraction of light duty vehicles fueled by electricity. Can be used to explore other fuel shifts through a dictionary.,,,1,1,"Fuel shifting can have a significant effect on in-sector (on-site combustion) emissions. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
64,TRNS: Fuel switch maritime,EN,TFR:TRNS:SHIFT_FUEL_MARITIME,Shift maritime (boats and ships) fuels to less carbon-intensive sources. Default is to shift 70% to hydrogen.,Shift maritime (boats and ships) fuels to less carbon-intensive sources. Default is to shift 70% to hydrogen.,"Minimum target fraction of maritime transportation fueled by hydrogen. Can be used to explore other fuels, such as ammonia, through a dictionary.",,,1,1,"Fuel shifting can have a significant effect on in-sector (on-site combustion) emissions. However, depending on the input share of fuels, the effect on fuel production may be nearly as significant or greater."
