Variable Type,Variable,Subsector Variable Code,Information,Variable Schema,Categories,Reference,Default Value,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Simplex Group,Emissions Total by Gas Component,Fraction Manure Management,``$CAT-MANURE-MANAGEMENT$``,IPCC Emissions Sector Codes,IPCC Equation Reference,Notes
Input,Livestock Manure Management Fraction Deep Bedding,frac_mm_deep_bedding,,``frac_lvst_mm_$CAT-LIVESTOCK$_deep_bedding``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``deep_bedding``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.7
Input,Livestock Manure Management Fraction Dry Lot,frac_mm_dry_lot,,``frac_lvst_mm_$CAT-LIVESTOCK$_dry_lot``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``dry_lot``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.8
Input,Livestock Manure Management Fraction Incineration,frac_mm_incineration,,``frac_lvst_mm_$CAT-LIVESTOCK$_incineration``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``incineration``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.9
Input,Livestock Manure Management Fraction Liquid Slurry,frac_mm_liquid_slurry,,``frac_lvst_mm_$CAT-LIVESTOCK$_liquid_slurry``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``liquid_slurry``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.10
Input,Livestock Manure Management Fraction Paddock Pasture Range,frac_mm_ppr,,``frac_lvst_mm_$CAT-LIVESTOCK$_paddock_pasture_range``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``paddock_pasture_range``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.11
Input,Livestock Manure Management Fraction Poultry Manure,frac_mm_poultry_manure,,``frac_lvst_mm_$CAT-LIVESTOCK$_poultry_manure``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``poultry_manure``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.12
Input,Livestock Manure Management Fraction Solid Storage,frac_mm_solid_storage,,``frac_lvst_mm_$CAT-LIVESTOCK$_solid_storage``,all," | `FAO Manure Management (CH4) <https://www.fao.org/faostat/en/#data/GM (Manure Management /Emissions CH4)>`_
 | 
 | `FAO Manure Management (N2O) <https://www.fao.org/faostat/en/#data/GM>`_",0,1,1,1,0,1,``storage_solid``,,,| Default values taken from IPCC GNGHGI V4 Table 10A.10
Input,Maximum Fraction of Diet from Crop Residuals,frac_diet_max_from_crop_residues," | Maximum fraction of diet that can come from crop residuals. This is used to estimate, based on crop and land use mixes, what fraction of diet comes from pastures, crops, and residues.
 | 
 | Residue availability are governed by how much are left after accounting for what is left on the field intentionally and what is burned.
 |
 | Must be :math:`\leq 1` and greater than **Minimum Fraction of Diet from Crop Residues**
 |  
 | Sum of the four maximum value constraints must exceed 1.",``frac_lvst_max_diet_from_crop_residuals_$CAT-LIVESTOCK$``,all,,0.1,1,1,,0,0,none,,,
Input,Maximum Fraction of Diet from Crops Cereal,frac_diet_max_from_crops_cereals," | Maximum fraction of diet that can come from **cereal** crops. This is used to estimate, based on crop and land use mixes, what fraction of diet comes from pastures, crops, and residues.
 |
 | Must be :math:`\leq 1` and greater than **Minimum Fraction of Diet from Crops Cereal**
 |  
 | Sum of the four maximum value constraints must exceed 1.",``frac_lvst_max_diet_from_crops_cereal_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Input,Maximum Fraction of Diet from Crops Non Cereal,frac_diet_max_from_crops_non_cereals," | Maximum fraction of diet that can come from **non-cereal** crops. This is used to estimate, based on crop and land use mixes, what fraction of diet comes from pastures, crops, and residues.
 |
 | Must be :math:`\leq 1` and greater than **Minimum Fraction of Diet from Crops Non Cereal**
 |  
 | Sum of the four maximum value constraints must exceed 1.",``frac_lvst_max_diet_from_crops_non_cereal_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Input,Maximum Fraction of Diet from Pastures,frac_diet_max_from_pastures," | Maximum fraction of diet that can come from pastures and grazing. This is used to estimate, based on crop and land use mixes, what fraction of diet comes from pastures. 
 |
 | Must be :math:`\leq 1` and greater than **Minimum Fraction of Diet from Pastures**
 |  
 | Sum of the four maximum value constraints must exceed 1.",``frac_lvst_max_diet_from_pastures_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Input,Maximum Manure :math:`\text{CH}_4` Generation Capacity,b0_manure_ch4,,"``physparam_lvst_bo_$CAT-LIVESTOCK$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-MASS$_manure`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-MASS$ = kg``)",all,| Default values taken from IPCC GNGHGI V4 Table 10A.16,0,1,1,,0,0,none,,,
Input,Minimum Fraction of Diet from Crop Residuals,frac_diet_min_from_crop_residues," | Minimum fraction of diet that can come from crop residuals. This is used to estimate, based on crop and land use mixes, what fraction of diet comes from pastures, crops, and residues.
 | 
 | Residue availability are governed by how much are left after accounting for what is left on the field intentionally and what is burned.
 |
 | Must be :math:`\leq 1` and less than **Maximum Fraction of Diet from Crop Residues**
 |  
 | Sum of the four maximum value constraints must exceed 1.",``frac_lvst_min_diet_from_crop_residuals_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Input,Minimum Fraction of Diet from Crops Cereal,frac_diet_min_from_crops_cereals," | Minimum fraction of diet that can come from **cereal** crops. This is used to estimate, based on crop and land use mixes, what fraction of diet comes from pastures, crops, and residues.
 |
 | Must be :math:`\leq 1` and less than **Maximum Fraction of Diet from Crops Cereal**
 |  
 | Sum of the four maximum value constraints must exceed 1.",``frac_lvst_min_diet_from_crops_cereal_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Input,Minimum Fraction of Diet from Crops Non Cereal,frac_diet_min_from_crops_non_cereals," | Minimum fraction of diet that can come from **non-cereal** crops. This is used to estimate, based on crop and land use mixes, what fraction of diet comes from pastures, crops, and residues.
 |
 | Must be :math:`\leq 1` and less than **Maximum Fraction of Diet from Crops Non Cereal**
 |  
 | Sum of the four maximum value constraints must exceed 1.",``frac_lvst_min_diet_from_crops_non_cereal_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Input,Minimum Fraction of Diet from Pastures,frac_diet_min_from_pastures," | Minimum fraction of diet that can come from pastures and grazing. This is used to estimate, based on crop and land use mixes, what fraction of diet comes from pastures. 
 |
 | Must be :math:`\leq 1` and less than **Maximum Fraction of Diet from Pastures**
 |  
 | Sum of the four maximum value constraints must exceed 1.",``frac_lvst_min_diet_from_pastures_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Output,:math:`\text{CH}_4` Emissions from Livestock Enteric Fermentation,emissions_ch4_ef,Methane emissions from enteric fermentation,``emission_co2e_$EMISSION-GAS$_lvst_entferm_$CAT-LIVESTOCK$`` (``$EMISSION-GAS$ = ch4``),all,,0,1,1,,1,0,none,,,
Output,Adjusted Livestock Equivalent Exports,adjusted_equivalent_exports,,``exportsadj_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Output,Adjusted Livestock Equivalent Imports,adjusted_equivalent_imports,,``importssadj_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Output,Changes to Livestock Net Imports Lost,changes_to_net_imports_lost," | Use this value to quantify the opportunity cost of reducing crop production for export.
 | 
 | If specifying values of **Fraction of Changes to Net Exports Met** or **Fraction of Changes to Net Imports Met**  :math:`\not= 1` (see variables in the `Land Use <../afolu.html#land_use>_` subsector), then reductions in changes to net imports may incur economic costs. ",``qty_lvst_changes_in_net_imports_lost_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Output,Livestock Demand,demand_livestock,Total production demand for heads of livestock,``demand_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Output,Livestock Head Count,pop,"Estimated as a function of land use, carrying capacity, and the **Carrying Capacity Scalar**. ",``pop_lvst_$CAT-LIVESTOCK$``,all,,0,1,1,,0,0,none,,,
Output,Total Domestic Animal Mass,total_animal_mass,"Sum, across all livestock animals, of product of head of livestock and weight per head less changes to net imports. This value is used in the integrated model to project changes to protein consumption in the circular economy model. ",``qty_lvst_domestic_animal_mass_$UNIT-MASS$`` (``$UNIT-MASS$ = mt``),none,,0,1,1,,0,1,none,,,
